Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%
1,Jordan Kyrou,24,C,49,23,26,49,-23,6,14,9,0,3,17,8,1,173,13.3,894,18:15,4.4,0.3,4.7,24,10,4,6,40.0
2,Robert Thomas,23,C,49,13,31,44,0,14,10,3,0,2,20,11,0,75,17.3,942,19:13,2.8,1.2,4.0,22,11,420,354,54.3
3,Pavel Buchnevich,27,LW,39,15,26,41,1,22,8,7,0,2,16,10,0,74,20.3,762,19:32,3.2,1.0,4.2,11,37,6,27,18.2
4,Brayden Schenn,31,C,52,13,26,39,-26,27,10,3,0,1,19,7,0,94,13.8,946,18:12,2.3,0.3,2.6,20,91,233,246,48.6
5,Vladimir Tarasenko,31,RW,38,10,19,29,-18,8,7,2,1,0,12,7,0,103,9.7,666,17:31,1.9,0.2,2.1,15,44,0,2,0.0
6,Justin Faulk,30,D,52,6,20,26,-10,18,4,2,0,2,15,5,0,127,4.7,1241,23:52,1.5,1.9,3.5,85,87,0,0,
7,Ivan Barbashev,27,C,52,9,15,24,-8,34,9,0,0,1,12,3,0,79,11.4,847,16:17,0.8,0.8,1.6,24,109,49,76,39.2
8,Brandon Saad,30,LW,45,15,7,22,-9,6,12,1,2,1,7,0,0,86,17.4,767,17:03,1.4,0.7,2.1,18,19,3,3,50.0
9,Torey Krug,31,D,36,5,16,21,-26,15,1,4,0,1,10,6,0,80,6.3,706,19:36,1.6,-0.4,1.2,55,30,0,0,krugto01
10,Noel Acciari,31,C,52,10,8,18,-5,10,10,0,0,1,6,0,2,68,14.7,754,14:30,0.6,0.8,1.4,52,162,269,226,54.3
11,Ryan O'Reilly,31,C,38,11,6,17,-27,8,9,1,1,3,5,1,0,76,14.5,699,18:24,0.7,-0.1,0.6,19,13,367,313,54.0
12,Colton Parayko,29,D,49,2,15,17,-20,22,2,0,0,1,12,2,1,92,2.2,1138,23:13,0.4,1.0,1.4,79,74,0,0,
13,Calle Rosen,28,D,33,7,8,15,16,6,7,0,0,2,8,0,0,42,16.7,498,15:06,1.5,2.2,3.7,36,12,0,0,
14,Nick Leddy,31,D,48,1,13,14,-11,14,1,0,0,0,13,0,0,54,1.9,1015,21:08,0.2,1.4,1.6,58,33,0,0,
15,Josh Leivo,29,LW,38,4,9,13,0,21,4,0,0,0,9,0,0,71,5.6,468,12:18,0.3,0.6,0.9,10,46,1,3,25.0
16,Jake Neighbours,20,LW,27,4,4,8,-16,9,3,1,0,0,3,1,0,34,11.8,334,12:22,0.2,-0.1,0.1,10,31,3,9,25.0
17,Alexey Toropchenko,23,RW,39,3,5,8,-2,10,3,0,0,0,5,0,0,44,6.8,419,10:44,-0.1,0.5,0.3,14,86,0,1,0.0
18,Tyler Pitlick,31,C,37,2,6,8,-3,6,2,0,0,0,6,0,0,22,9.1,346,9:21,0.0,0.3,0.3,16,65,1,2,33.3
19,Nikita Alexandrov,22,C,18,3,2,5,5,8,3,0,0,0,2,0,0,18,16.7,158,8:46,0.3,0.4,0.7,10,15,18,39,31.6
20,Nathan Walker,28,C,29,1,3,4,1,13,1,0,0,1,3,0,0,16,6.3,273,9:24,-0.3,0.4,0.1,20,36,19,13,59.4
21,Niko Mikkola,26,D,50,0,3,3,2,35,0,0,0,0,3,0,0,31,0.0,832,16:39,-0.7,1.9,1.2,68,96,0,0,
22,Logan Brown,24,C,13,0,2,2,-3,4,0,0,0,0,2,0,0,6,0.0,126,9:42,-0.2,0.1,-0.1,5,7,14,35,28.6
23,Sammy Blais,26,LW,1,1,0,1,0,2,1,0,0,0,0,0,0,3,33.3,12,11:33,0.2,0.0,0.2,1,3,0,0,
24,Robert Bortuzzo,33,D,31,1,0,1,2,25,1,0,0,0,0,0,0,19,5.3,371,11:59,-0.3,0.9,0.7,29,51,0,0,
25,Jordan Binnington,29,G,40,0,1,1,0,10,0,0,0,0,0,1,0,0,,2299,57:28,0.0,0.0,4.7,0,1,0,0,
26,William Bitten,24,C,4,0,1,1,1,0,0,0,0,0,1,0,0,0,,27,6:39,0.0,0.1,0.1,0,10,0,0,
27,Steven Santini,27,D,4,0,1,1,0,2,0,0,0,0,1,0,0,5,0.0,50,12:31,0.0,0.1,0.1,10,6,0,0,
28,Tyler Tucker,22,D,13,0,1,1,0,10,0,0,0,0,1,0,0,12,0.0,192,14:45,-0.1,0.4,0.3,14,25,0,0,
29,Thomas Greiss,37,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,821,54:43,0.0,0.0,2.8,0,0,0,0,
